,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
31,서울특별시,중랑구,11260,2016,294,2918,341,2820,472,219,1,0,5,0,82,0,0,166,0,796,7.9086,103.2972,11.4917,156.792,9.676,15.2424,0.0325,0.0,0.022508333,0.0,0.579466667,0.0,0.0,1.29812,0.0,33.9096,340.250095
32,서울특별시,성북구,11290,2016,1640,2743,823,1603,123,65,38,4,97,0,0,0,0,495,0,975,44.116,97.1022,27.7351,89.1268,2.5215,4.524,1.235,0.4076,0.436661667,0.0,0.0,0.0,0.0,3.8709,0.0,41.535,312.6107617
33,서울특별시,강북구,11305,2016,495,3357,245,957,324,0,121,5,990,95,0,0,0,513,0,416,13.3155,118.8378,8.2565,53.2092,6.642,0.0,3.9325,0.5095,4.45665,0.996233333,0.0,0.0,0.0,4.01166,0.0,17.7216,231.8891433
34,서울특별시,도봉구,11320,2016,1942,4982,788,542,6,61,32,18,15,0,0,0,0,66,0,979,52.2398,176.3628,26.5556,30.1352,0.123,4.2456,1.04,1.8342,0.067525,0.0,0.0,0.0,0.0,0.51612,0.0,41.7054,334.825245
35,서울특별시,노원구,11350,2016,1556,6514,1133,3404,0,280,41,0,32,0,0,0,0,132,0,1303,41.8564,230.5956,38.1821,189.2624,0.0,19.488,1.3325,0.0,0.144053333,0.0,0.0,0.0,0.0,1.03224,0.0,55.5078,577.4010933
36,서울특별시,은평구,11380,2016,2101,4230,951,1873,0,17,295,0,4,0,16,0,0,544,0,1155,56.5169,149.742,32.0487,104.1388,0.0,1.1832,9.5875,0.0,0.018006667,0.0,0.113066667,0.0,0.0,4.25408,0.0,49.203,406.8052533
37,서울특별시,서대문구,11410,2016,668,3489,546,1986,8,25,84,10,0,0,5,0,0,421,126,1786,17.9692,123.5106,18.4002,110.4216,0.164,1.74,2.73,1.019,0.0,0.0,0.035333333,0.0,0.0,3.29222,1.75749,76.0836,357.1232433
38,서울특별시,마포구,11440,2016,884,3351,3040,3634,0,474,983,0,109,0,0,0,0,1219,0,631,23.7796,118.6254,102.448,202.0504,0.0,32.9904,31.9475,0.0,0.490681667,0.0,0.0,0.0,0.0,9.53258,0.0,26.8806,548.7451617
39,서울특별시,양천구,11470,2016,954,5630,1034,4008,0,74,177,0,0,0,4,0,0,766,0,828,25.6626,199.302,34.8458,222.8448,0.0,5.1504,5.7525,0.0,0.0,0.0,0.028266667,0.0,0.0,5.99012,0.0,35.2728,534.8492867
40,서울특별시,강서구,11500,2016,2113,3974,919,729,261,1664,213,0,282,0,0,0,0,493,57,1057,56.8397,140.6796,30.9703,40.5324,5.3505,115.8144,6.9225,0.0,1.26947,0.0,0.0,0.0,0.0,3.85526,0.795055,45.0282,448.057385
41,서울특별시,구로구,11530,2016,1955,3625,1787,1601,13,3,0,0,30,0,15,0,0,1071,0,1226,52.5895,128.325,60.2219,89.0156,0.2665,0.2088,0.0,0.0,0.13505,0.0,0.106,0.0,0.0,8.37522,0.0,52.2276,391.47117
42,서울특별시,금천구,11545,2016,1125,3699,380,1061,0,32,175,0,5,18,7,0,0,173,17,58,30.2625,130.9446,12.806,58.9916,0.0,2.2272,5.6875,0.0,0.022508333,0.18876,0.049466667,0.0,0.0,1.35286,0.237121667,2.4708,245.2409167
43,서울특별시,영등포구,11560,2016,2706,6110,3400,3989,442,66,110,12,40,0,189,0,0,816,0,661,72.7914,216.294,114.58,221.7884,9.061,4.5936,3.575,1.2228,0.180066667,0.0,1.3356,0.0,0.0,6.38112,0.0,28.1586,679.9615867
44,서울특별시,동작구,11590,2016,1143,2207,1312,941,242,114,9,0,7,0,0,0,0,403,0,1008,30.7467,78.1278,44.2144,52.3196,4.961,7.9344,0.2925,0.0,0.031511667,0.0,0.0,0.0,0.0,3.15146,0.0,42.9408,264.7201717
45,서울특별시,관악구,11620,2016,2168,2202,182,2357,0,95,100,0,59,0,0,0,0,40,0,2553,58.3192,77.9508,6.1334,131.0492,0.0,6.612,3.25,0.0,0.265598333,0.0,0.0,0.0,0.0,0.3128,0.0,108.7578,392.6507983
46,서울특별시,서초구,11650,2016,581,3243,3579,5025,0,1282,516,0,0,0,843,0,0,491,533,6,15.6289,114.8022,120.6123,279.39,0.0,89.2272,16.77,0.0,0.0,0.0,5.9572,0.0,0.0,3.83962,7.434461667,0.2556,653.9174817
47,서울특별시,강남구,11680,2016,2191,7980,2803,7725,27,867,518,65,0,0,0,0,0,624,323,1412,58.9379,282.492,94.4611,429.51,0.5535,60.3432,16.835,6.6235,0.0,0.0,0.0,0.0,0.0,4.87968,4.505311667,60.1512,1019.292392
48,서울특별시,송파구,11710,2016,931,12559,2170,4370,222,14,0,707,191,0,329,0,0,976,0,1844,25.0439,444.5886,73.129,242.972,4.551,0.9744,0.0,72.0433,0.859818333,0.0,2.324933333,0.0,0.0,7.63232,0.0,78.5544,952.6736717
49,서울특별시,강동구,11740,2016,1494,7543,2243,5013,19,0,55,0,0,0,0,0,0,568,59,2612,40.1886,267.0222,75.5891,278.7228,0.3895,0.0,1.7875,0.0,0.0,0.0,0.0,0.0,0.0,4.44176,0.822951667,111.2712,780.2356117
50,서울특별시,종로구,11110,2017,499,5339,684,1230,11,32,146,4,278,0,18,0,0,177,0,533,13.4231,189.0006,23.0508,68.388,0.2255,2.2272,4.745,0.4076,1.251463333,0.0,0.1272,0.0,0.0,1.38414,0.0,22.7058,326.9364033
51,서울특별시,중구,11140,2017,290,3655,461,165,0,0,204,7,2122,0,0,0,0,449,0,821,7.801,129.387,15.5357,9.174,0.0,0.0,6.63,0.7133,9.552536667,0.0,0.0,0.0,0.0,3.51118,0.0,34.9746,217.2793167
52,서울특별시,용산구,11170,2017,255,4463,357,1440,80,0,37,14,51,0,16,0,0,203,0,912,6.8595,157.9902,12.0309,80.064,1.64,0.0,1.2025,1.4266,0.229585,0.0,0.113066667,0.0,0.0,1.58746,0.0,38.8512,301.9950117
53,서울특별시,성동구,11200,2017,560,1134,1999,2453,29,49,411,0,53,0,1,0,0,562,0,666,15.064,40.1436,67.3663,136.3868,0.5945,3.4104,13.3575,0.0,0.238588333,0.0,0.007066667,0.0,0.0,4.39484,0.0,28.3716,309.335195
54,서울특별시,광진구,11215,2017,863,1253,1003,2461,0,0,153,62,20,0,101,0,0,724,0,571,23.2147,44.3562,33.8011,136.8316,0.0,0.0,4.9725,6.3178,0.090033333,0.0,0.713733333,0.0,0.0,5.66168,0.0,24.3246,280.2839467
55,서울특별시,동대문구,11230,2017,744,3748,848,3533,232,60,146,39,0,0,19,0,0,1025,0,520,20.0136,132.6792,28.5776,196.4348,4.756,4.176,4.745,3.9741,0.0,0.0,0.134266667,0.0,0.0,8.0155,0.0,22.152,425.6580667
