BRCT_NM,SGNG_NM,SGNG_CD,STNDD_YR,CHRR_QNTT,GKGO_QNTT,ZKVA_QNTT,AMSC_QNTT,MAPLF_TRE_QNTT,MTSQ_QNTT,STJP_QNTT,TLTR_QNTT,PINE_QNTT,KRPN_QNTT,AMSY_QNTT,HNKCP_TRE_QNTT,ACTSM_QNTT,MGLOK_QNTT,OAK_QNTT,ETC_QNTT,CHRR_GRGS_ABQNT,GKGO_GRGS_ABQNT,ZKVA_GRGS_ABQNT,AMSC_GRGS_ABQNT,MAPLF_TRE_GRGS_ABQNT,MTSQ_GRGS_ABQNT,STJP_GRGS_ABQNT,TLTR_GRGS_ABQNT,PINE_GRGS_ABQNT,KRPN_GRGS_ABQNT,CONIFER_GRGS_ABQNT,HNKCP_TRE_GRGS_ABQNT,ACTSM_GRGS_ABQNT,MGLOK_GRGS_ABQNT,OAK_GRGS_ABQNT,ETC_GRGS_ABQNT,SUM_GRGS_ABQNT
강원도,홍천군,42720,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,횡성군,42730,2016,159,0,0,0,27,0,0,0,0,0,0,0,0,0,0,92,4.2771,0,0,0,0.5535,0,0,0,0,0,0,0,0,0,0,3.9192,8.7498
강원도,영월군,42750,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,평창군,42760,2016,3255,1404,49,0,128,57,0,0,0,0,0,0,0,0,0,655,87.5595,49.7016,1.6513,0,2.624,3.9672,0,0,0,0,0,0,0,0,0,27.903,173.4066
강원도,정선군,42770,2016,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8638,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8638
강원도,철원군,42780,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44574,0,0,0.44574
강원도,화천군,42790,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,양구군,42800,2016,2039,2426,133,0,792,424,0,0,0,0,0,0,0,384,0,4343,54.8491,85.8804,4.4821,0,16.236,29.5104,0,0,0,0,0,0,0,3.00288,0,185.0118,378.97268
강원도,인제군,42810,2016,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,16.5714,0,0,0,0,0,0,0,0,0,0,12.78,29.3514
강원도,고성군,42820,2016,2355,752,76,948,0,0,0,0,0,0,0,0,0,350,0,1692,63.3495,26.6208,2.5612,52.7088,0,0,0,0,0,0,0,0,0,2.737,0,72.0792,220.0565
강원도,양양군,42830,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,춘천시,42110,2017,339,265,180,0,88,0,0,0,0,0,0,0,0,745,425,0,9.1191,9.381,6.066,0,1.804,0,0,0,0,0,0,0,0,5.8259,5.928041667,0,38.12404167
강원도,원주시,42130,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
