,구,월,시,환경지수
6110,은평구,3,14,51.53281376555048
6111,은평구,3,15,49.15778776094657
6112,은평구,3,16,49.32369874497254
6113,은평구,3,17,49.605530091268626
6114,은평구,3,18,48.55977558111035
6115,은평구,3,19,48.417866788964005
6116,은평구,3,20,47.247001991832676
6117,은평구,3,21,46.97867014358664
6118,은평구,3,22,47.06261627096959
6119,은평구,3,23,46.85896592235214
6120,은평구,4,0,32.98275933931598
6121,은평구,4,1,32.467660721674996
6122,은평구,4,2,32.27224668399958
6123,은평구,4,3,32.74915604445081
6124,은평구,4,4,32.48447837581737
6125,은평구,4,5,34.01181204804808
6126,은평구,4,6,35.48562476190796
6127,은평구,4,7,37.58004173436471
6128,은평구,4,8,39.41864547942487
6129,은평구,4,9,41.43427862359068
6130,은평구,4,10,40.54110486105744
6131,은평구,4,11,41.15189339625726
6132,은평구,4,12,38.833181158175705
6133,은평구,4,13,41.21975644661079
6134,은평구,4,14,40.93517257300947
6135,은평구,4,15,43.92377628110455
6136,은평구,4,16,43.64530441179451
6137,은평구,4,17,41.61538396955831
6138,은평구,4,18,40.06402618881247
6139,은평구,4,19,40.36957363025831
6140,은평구,4,20,38.58705235261139
6141,은평구,4,21,36.374145178700346
6142,은평구,4,22,35.80318383333789
6143,은평구,4,23,34.90679412203823
6144,은평구,5,0,36.958507618654714
6145,은평구,5,1,35.02044615836569
6146,은평구,5,2,33.386131867476074
6147,은평구,5,3,34.25786579957519
6148,은평구,5,4,33.45849674876086
6149,은평구,5,5,35.297826132897484
6150,은평구,5,6,34.17352641899575
6151,은평구,5,7,35.88605429903227
6152,은평구,5,8,36.77931239091443
6153,은평구,5,9,36.23727745512693
6154,은평구,5,10,37.91260536608064
6155,은평구,5,11,39.23403942509964
6156,은평구,5,12,42.46670200116257
6157,은평구,5,13,43.27861341221134
6158,은평구,5,14,42.77274309517154
6159,은평구,5,15,43.58405031899369
6160,은평구,5,16,43.18384722964829
6161,은평구,5,17,44.1057363991437
6162,은평구,5,18,43.77910075161557
6163,은평구,5,19,43.66241839448089
6164,은평구,5,20,42.8511264991046
6165,은평구,5,21,42.46595708081891
6166,은평구,5,22,41.237746123522825
6167,은평구,5,23,38.92066231328061
6168,은평구,6,0,31.522812179479462
6169,은평구,6,1,30.60931720507992
6170,은평구,6,2,29.61069025054086
6171,은평구,6,3,28.39916410084553
6172,은평구,6,4,27.92769682877021
6173,은평구,6,5,27.744838194048047
6174,은평구,6,6,28.492855445509328
6175,은평구,6,7,30.38411538345887
6176,은평구,6,8,31.69992816442027
6177,은평구,6,9,33.09287373577863
6178,은평구,6,10,35.231971167822536
6179,은평구,6,11,36.46541913334955
6180,은평구,6,12,37.39346648027404
6181,은평구,6,13,38.470500887789136
6182,은평구,6,14,40.720253310712
6183,은평구,6,15,41.57842308039263
6184,은평구,6,16,42.133855909183815
6185,은평구,6,17,40.06898570492279
6186,은평구,6,18,38.230650711035345
6187,은평구,6,19,36.524726474982884
6188,은평구,6,20,35.147826820881605
6189,은평구,6,21,34.222933138655705
6190,은평구,6,22,33.58802352256781
6191,은평구,6,23,32.65978866338921
6192,은평구,7,0,24.849603848330506
6193,은평구,7,1,23.541117921466693
6194,은평구,7,2,21.989981902998796
6195,은평구,7,3,21.502895157015605
6196,은평구,7,4,20.75306945603484
6197,은평구,7,5,20.53714106613304
6198,은평구,7,6,21.406081839371527
6199,은평구,7,7,23.01895014027759
6200,은평구,7,8,24.574272043330488
6201,은평구,7,9,26.405740575544325
6202,은평구,7,10,28.151017397674664
6203,은평구,7,11,30.742581541521837
6204,은평구,7,12,31.483989903650613
6205,은평구,7,13,32.27368630725009
6206,은평구,7,14,32.8104403070735
6207,은평구,7,15,34.16663377085379
6208,은평구,7,16,34.21229690985957
6209,은평구,7,17,33.06670139480706
6210,은평구,7,18,31.53631249447485
6211,은평구,7,19,30.6376906328281
6212,은평구,7,20,29.62267592619237
6213,은평구,7,21,27.652136502370283
6214,은평구,7,22,26.658109951575582
6215,은평구,7,23,26.0174345621268
6216,은평구,8,0,23.24450099036607
6217,은평구,8,1,22.28226825941855
6218,은평구,8,2,22.054643616864848
6219,은평구,8,3,21.504695572046153
6220,은평구,8,4,21.349457857852002
6221,은평구,8,5,21.36213218658289
6222,은평구,8,6,22.49839641476573
6223,은평구,8,7,22.839676337121357
6224,은평구,8,8,24.371249179010107
6225,은평구,8,9,25.69011920283107
6226,은평구,8,10,27.044071351924394
6227,은평구,8,11,28.352262957504298
6228,은평구,8,12,29.136961380789625
6229,은평구,8,13,29.938946318937923
6230,은평구,8,14,28.876569583339858
6231,은평구,8,15,30.37057730062097
6232,은평구,8,16,30.21566196444861
6233,은평구,8,17,28.820616070049187
6234,은평구,8,18,28.425599662999307
6235,은평구,8,19,27.7265778560146
6236,은평구,8,20,26.45592550476583
6237,은평구,8,21,25.422401684259473
6238,은평구,8,22,24.591444076855808
6239,은평구,8,23,24.329403310536232
6240,은평구,9,0,19.72271262507866
6241,은평구,9,1,18.96947717638598
6242,은평구,9,2,18.450864054104517
6243,은평구,9,3,19.11191688093614
6244,은평구,9,4,19.24411084372342
6245,은평구,9,5,19.075780207317663
6246,은평구,9,6,19.72109596023958
6247,은평구,9,7,20.681406786419053
6248,은평구,9,8,22.013359791041548
6249,은평구,9,9,23.07200570098537
6250,은평구,9,10,23.22247757668614
6251,은평구,9,11,23.889667552007474
6252,은평구,9,12,24.191441999537453
6253,은평구,9,13,24.67253813937314
6254,은평구,9,14,25.94683264071713
6255,은평구,9,15,26.039084292652536
6256,은평구,9,16,25.245408037144113
6257,은평구,9,17,24.26233349036274
6258,은평구,9,18,24.416726054317692
6259,은평구,9,19,24.450926640539645
6260,은평구,9,20,22.701095840242186
6261,은평구,9,21,21.96522757800404
6262,은평구,9,22,21.094548292920283
6263,은평구,9,23,20.604556515973353
6264,은평구,10,0,25.914189186294877
6265,은평구,10,1,25.003940691372414
6266,은평구,10,2,24.26600364619093
6267,은평구,10,3,24.397182309929807
6268,은평구,10,4,24.473255527961904
6269,은평구,10,5,24.57400602195254
6270,은평구,10,6,26.058753151245206
6271,은평구,10,7,27.147877723351858
6272,은평구,10,8,29.98302267422914
6273,은평구,10,9,30.35122558872367
6274,은평구,10,10,31.50288907321495
