,구,오염물질,월,평균값
387,광진구,O3,04,0.03550139664804469
388,광진구,O3,05,0.03537567567567568
389,광진구,O3,06,0.039789400278940026
390,광진구,O3,07,0.0377638326585695
391,광진구,O3,08,0.038400000000000004
392,광진구,O3,09,0.028667597765363127
393,광진구,O3,10,0.02027800269905533
394,광진구,O3,11,0.015973426573426572
395,광진구,O3,12,0.012418353576248313
396,광진구,PM10,01,0.03454878048780488
397,광진구,PM10,02,0.04498953662182362
398,광진구,PM10,03,0.06339864864864865
399,광진구,PM10,04,0.040670868347338934
400,광진구,PM10,05,0.059813513513513515
401,광진구,PM10,06,0.03149303621169917
402,광진구,PM10,07,0.02325034013605442
403,광진구,PM10,08,0.02191196698762036
404,광진구,PM10,09,0.014747545582047687
405,광진구,PM10,10,0.025859269282814613
406,광진구,PM10,11,0.043902097902097904
407,광진구,PM10,12,0.03675848032564451
408,광진구,PM2.5,01,0.021124156545209178
409,광진구,PM2.5,02,0.02949025487256372
410,광진구,PM2.5,03,0.03100135135135135
411,광진구,PM2.5,04,0.018130252100840336
412,광진구,PM2.5,05,0.019090540540540542
413,광진구,PM2.5,06,0.017956764295676428
414,광진구,PM2.5,07,0.014414864864864865
415,광진구,PM2.5,08,0.013672998643147896
416,광진구,PM2.5,09,0.0070139860139860144
417,광진구,PM2.5,10,0.013183783783783784
418,광진구,PM2.5,11,0.026188547486033522
419,광진구,PM2.5,12,0.02326829268292683
420,광진구,SO2,01,0.0028007968127490043
421,광진구,SO2,02,0.003008982035928144
422,광진구,SO2,03,0.0033009446693657222
423,광진구,SO2,04,0.003175977653631285
424,광진구,SO2,05,0.0033810810810810813
425,광진구,SO2,06,0.003241283124128312
426,광진구,SO2,07,0.002970310391363023
427,광진구,SO2,08,0.002447297297297297
428,광진구,SO2,09,0.0034427374301675977
429,광진구,SO2,10,0.0025560053981106613
430,광진구,SO2,11,0.0029916083916083917
431,광진구,SO2,12,0.0024480431848852902
432,구로구,CO,01,0.4601889338731444
433,구로구,CO,02,0.4393712574850299
434,구로구,CO,03,0.44627875507442494
435,구로구,CO,04,0.35598885793871865
436,구로구,CO,05,0.3702156334231806
437,구로구,CO,06,0.3838440111420613
438,구로구,CO,07,0.31416893732970025
439,구로구,CO,08,0.3543243243243243
440,구로구,CO,09,0.40487465181058496
441,구로구,CO,10,0.44013513513513514
442,구로구,CO,11,0.4167832167832168
443,구로구,CO,12,0.48814016172506736
444,구로구,NO2,01,0.03174932249322494
445,구로구,NO2,02,0.03045209580838323
446,구로구,NO2,03,0.03249797023004059
447,구로구,NO2,04,0.022480501392757663
448,구로구,NO2,05,0.020251012145748988
449,구로구,NO2,06,0.020174337517433753
450,구로구,NO2,07,0.016256317689530685
451,구로구,NO2,08,0.013551351351351352
452,구로구,NO2,09,0.012807799442896936
453,구로구,NO2,10,0.02030604982206406
454,구로구,NO2,11,0.031363782051282055
455,구로구,NO2,12,0.029672530446549394
456,구로구,O3,01,0.01564054054054054
457,구로구,O3,02,0.023330838323353295
458,구로구,O3,03,0.026098495212038303
459,구로구,O3,04,0.03952367688022284
460,구로구,O3,05,0.03977493261455526
461,구로구,O3,06,0.04401810584958217
462,구로구,O3,07,0.04356214689265536
463,구로구,O3,08,0.038643243243243246
464,구로구,O3,09,0.03479805013927577
465,구로구,O3,10,0.026312925170068027
466,구로구,O3,11,0.022545454545454546
467,구로구,O3,12,0.018196765498652293
468,구로구,PM10,01,0.03939069111424542
469,구로구,PM10,02,0.05081437125748504
470,구로구,PM10,03,0.0749863387978142
471,구로구,PM10,04,0.04719803370786518
472,구로구,PM10,05,0.06446575342465753
473,구로구,PM10,06,0.03156899004267426
474,구로구,PM10,07,0.01946412213740458
475,구로구,PM10,08,0.019114874815905746
476,구로구,PM10,09,0.01520203488372093
477,구로구,PM10,10,0.02882344827586207
478,구로구,PM10,11,0.04592806770098731
479,구로구,PM10,12,0.04083717774762551
480,구로구,PM2.5,01,0.020037921348314607
481,구로구,PM2.5,02,0.029091454272863568
482,구로구,PM2.5,03,0.03561246612466125
483,구로구,PM2.5,04,0.02052204836415363
484,구로구,PM2.5,05,0.02219891008174387
485,구로구,PM2.5,06,0.01446433770014556
486,구로구,PM2.5,07,0.012512555391432792
487,구로구,PM2.5,08,0.011085987261146497
488,구로구,PM2.5,09,0.007378698224852071
489,구로구,PM2.5,10,0.013417256011315418
490,구로구,PM2.5,11,0.027487218045112782
491,구로구,PM2.5,12,0.02378434268833087
492,구로구,SO2,01,0.004367567567567568
493,구로구,SO2,02,0.003947604790419162
494,구로구,SO2,03,0.003407055630936228
495,구로구,SO2,04,0.003614206128133705
496,구로구,SO2,05,0.0032520215633423184
497,구로구,SO2,06,0.003389121338912134
498,구로구,SO2,07,0.0031675749318801094
499,구로구,SO2,08,0.00283085250338295
500,구로구,SO2,09,0.0025264623955431756
501,구로구,SO2,10,0.003048648648648649
502,구로구,SO2,11,0.0028653001464128843
503,구로구,SO2,12,0.0028840970350404315
504,금천구,CO,01,0.615040650406504
505,금천구,CO,02,0.5908682634730539
506,금천구,CO,03,0.5409459459459459
507,금천구,CO,04,0.388268156424581
508,금천구,CO,05,0.36548431105047746
509,금천구,CO,06,0.39535864978902957
510,금천구,CO,07,0.32392550143266474
511,금천구,CO,08,0.33414965986394557
512,금천구,CO,09,0.326783114992722
513,금천구,CO,10,0.39252199413489736
514,금천구,CO,11,0.5252793296089385
515,금천구,CO,12,0.5753721244925575
516,금천구,NO2,01,0.03315989159891599
517,금천구,NO2,02,0.03237425149700599
518,금천구,NO2,03,0.03373783783783784
519,금천구,NO2,04,0.023677374301675977
520,금천구,NO2,05,0.019394270122783084
521,금천구,NO2,06,0.01943478260869565
522,금천구,NO2,07,0.016933423913043477
523,금천구,NO2,08,0.015595918367346938
524,금천구,NO2,09,0.014231441048034933
525,금천구,NO2,10,0.02571718538565629
526,금천구,NO2,11,0.036312849162011177
527,금천구,NO2,12,0.038957478005865104
528,금천구,O3,01,0.015498644986449865
529,금천구,O3,02,0.0235314371257485
530,금천구,O3,03,0.025936486486486488
531,금천구,O3,04,0.03853631284916201
532,금천구,O3,05,0.03670259208731241
533,금천구,O3,06,0.03979523141654979
534,금천구,O3,07,0.035002717391304346
535,금천구,O3,08,0.03210612244897959
536,금천구,O3,09,0.030502183406113534
537,금천구,O3,10,0.021265223274695533
538,금천구,O3,11,0.016462290502793298
539,금천구,O3,12,0.01293640054127199
540,금천구,PM10,01,0.04086950549450549
541,금천구,PM10,02,0.053067073170731706
542,금천구,PM10,03,0.06871929824561404
543,금천구,PM10,04,0.04087709497206704
544,금천구,PM10,05,0.05684254143646409
545,금천구,PM10,06,0.033394625176803396
546,금천구,PM10,07,0.025799180327868855
547,금천구,PM10,08,0.022442622950819672
548,금천구,PM10,09,0.015660237388724036
549,금천구,PM10,10,0.02581571815718157
550,금천구,PM10,11,0.04379606188466948
551,금천구,PM10,12,0.03905205479452055
552,금천구,PM2.5,01,0.023215469613259668
553,금천구,PM2.5,02,0.03372408536585366
554,금천구,PM2.5,03,0.034502695417789754
555,금천구,PM2.5,04,0.019928270042194093
556,금천구,PM2.5,05,0.02086173184357542
557,금천구,PM2.5,06,0.022505649717514127
558,금천구,PM2.5,07,0.018875
559,금천구,PM2.5,08,0.014711354309165526
560,금천구,PM2.5,09,0.009757847533632288
561,금천구,PM2.5,10,0.013906630581867389
562,금천구,PM2.5,11,0.026187060478199718
563,금천구,PM2.5,12,0.023927272727272728
564,금천구,SO2,01,0.00336449864498645
565,금천구,SO2,02,0.0033248502994011977
566,금천구,SO2,03,0.003022972972972973
567,금천구,SO2,04,0.0027849162011173182
568,금천구,SO2,05,0.0025784447476125513
569,금천구,SO2,06,0.00306025824964132
570,금천구,SO2,07,0.0029008152173913048
571,금천구,SO2,08,0.0026888217522658612
572,금천구,SO2,09,0.0024643377001455605
573,금천구,SO2,10,0.003307171853856563
574,금천구,SO2,11,0.00425977653631285
575,금천구,SO2,12,0.004075778078484438
576,노원구,CO,01,0.6742547425474255
577,노원구,CO,02,0.6526946107784432
578,노원구,CO,03,0.5940217391304348
579,노원구,CO,04,0.43919107391910733
580,노원구,CO,05,0.4193504736129905
581,노원구,CO,06,0.41913407821229054
582,노원구,CO,07,0.34408163265306124
583,노원구,CO,08,0.37184873949579833
584,노원구,CO,09,0.3549418604651163
585,노원구,CO,10,0.45337837837837835
586,노원구,CO,11,0.6131101813110181
587,노원구,CO,12,0.6355886332882273
588,노원구,NO2,01,0.030337398373983738
589,노원구,NO2,02,0.03129640718562874
590,노원구,NO2,03,0.029
591,노원구,NO2,04,0.02111018131101813
592,노원구,NO2,05,0.01806495263870095
593,노원구,NO2,06,0.015576815642458101
594,노원구,NO2,07,0.014344217687074829
595,노원구,NO2,08,0.012963585434173669
596,노원구,NO2,09,0.012517441860465117
597,노원구,NO2,10,0.02157972972972973
598,노원구,NO2,11,0.03011994421199442
599,노원구,NO2,12,0.029250338294993232
600,노원구,O3,01,0.01649051490514905
601,노원구,O3,02,0.02308682634730539
602,노원구,O3,03,0.026812500000000003
603,노원구,O3,04,0.03709344490934449
604,노원구,O3,05,0.034838971583220565
605,노원구,O3,06,0.041002793296089385
606,노원구,O3,07,0.03640408163265306
607,노원구,O3,08,0.033210084033613446
608,노원구,O3,09,0.03170203488372093
609,노원구,O3,10,0.02169241192411924
610,노원구,O3,11,0.018482566248256626
611,노원구,O3,12,0.014303112313937754
612,노원구,PM10,01,0.04116071428571429
613,노원구,PM10,02,0.048607784431137724
614,노원구,PM10,03,0.062321573948439624
615,노원구,PM10,04,0.03939160839160839
616,노원구,PM10,05,0.056769647696476966
617,노원구,PM10,06,0.029504201680672266
618,노원구,PM10,07,0.022779753761969907
619,노원구,PM10,08,0.021356534090909093
620,노원구,PM10,09,0.01480839160839161
621,노원구,PM10,10,0.027356368563685635
622,노원구,PM10,11,0.04611592178770949
623,노원구,PM10,12,0.04071794871794872
624,노원구,PM2.5,01,0.024837653478854024
625,노원구,PM2.5,02,0.030910044977511247
626,노원구,PM2.5,03,0.029959239130434783
627,노원구,PM2.5,04,0.018590782122905027
628,노원구,PM2.5,05,0.019084239130434784
629,노원구,PM2.5,06,0.0186507713884993
630,노원구,PM2.5,07,0.015990264255910987
631,노원구,PM2.5,08,0.014847887323943662
632,노원구,PM2.5,09,0.007746853146853147
633,노원구,PM2.5,10,0.014937669376693769
634,노원구,PM2.5,11,0.02920391061452514
635,노원구,PM2.5,12,0.02557258064516129
636,노원구,SO2,01,0.0036124661246612465
637,노원구,SO2,02,0.003627245508982036
638,노원구,SO2,03,0.0030733695652173914
639,노원구,SO2,04,0.002765690376569038
640,노원구,SO2,05,0.0024573748308525036
641,노원구,SO2,06,0.002579608938547486
642,노원구,SO2,07,0.002421768707482993
643,노원구,SO2,08,0.0018697478991596638
644,노원구,SO2,09,0.0019854651162790698
645,노원구,SO2,10,0.002564864864864865
646,노원구,SO2,11,0.0032608089260808925
647,노원구,SO2,12,0.0033775372124492556
648,도봉구,CO,01,0.47547169811320755
649,도봉구,CO,02,0.44716417910447764
650,도봉구,CO,03,0.42452830188679247
651,도봉구,CO,04,0.2958217270194986
652,도봉구,CO,05,0.2898921832884097
653,도봉구,CO,06,0.29763231197771584
654,도봉구,CO,07,0.24211956521739134
